aba,nome_planilha,status,id_coordenada,nome_coordenadas,observacao
CRECHE_CONVENIADA,ASMOREJI,CORRESPONDENCIA_VALIDADA,CONV-02,ASMOREJI,
CRECHE_CONVENIADA,AVE MARIA,CORRESPONDENCIA_VALIDADA,CONV-03,AVE MARIA,
CRECHE_CONVENIADA,BETEL,CORRESPONDENCIA_VALIDADA,CONV-04,BETEL,
CRECHE_CONVENIADA,JARDIM DE LOURDES,CORRESPONDENCIA_VALIDADA,CONV-14,JARDIM LOURDES,
CRECHE_CONVENIADA,BOSQUINHO,CORRESPONDENCIA_VALIDADA,CONV-05,BOSQUINHO,
CRECHE_CONVENIADA,KOLPING EMBU,CORRESPONDENCIA_VALIDADA,CONV-16,KOLPING,
CRECHE_CONVENIADA,KOLPING RESSACA,CORRESPONDENCIA_VALIDADA,CONV-17,KOLPING RESSACA,
CRECHE_CONVENIADA,CRISTO RESSUSCITADO,CORRESPONDENCIA_VALIDADA,CONV-07,CRISTO RESSUSCITADO,
CRECHE_CONVENIADA,SANTA INÊS,CORRESPONDENCIA_VALIDADA,CONV-21,SANTA INÊS,
CRECHE_CONVENIADA,ASSOC PEQUENINOS PARQUE PIRAJUSSARA,CORRESPONDENCIA_VALIDADA,CONV-19,PEQ. DO PARQUE,
CRECHE_CONVENIADA,ISIS CRISTINA,CORRESPONDENCIA_VALIDADA,CONV-12,ISIS CRISTINA,
CRECHE_CONVENIADA,MADRE TEREZA I,CORRESPONDENCIA_VALIDADA,CONV-18,MADRE TEREZA,
CRECHE_CONVENIADA,RIO PEQUENO,CORRESPONDENCIA_VALIDADA,CONV-20,RIO PEQUENO,
CRECHE_CONVENIADA,SANTA LUZIA,CORRESPONDENCIA_VALIDADA,CONV-22,SANTA LUZIA,
CRECHE_CONVENIADA,JARDIM SILVIA,CORRESPONDENCIA_VALIDADA,CONV-13,JD. SILVIA,
CRECHE_CONVENIADA,GABRIELA PIRES,CORRESPONDENCIA_VALIDADA,CONV-06,CEI GABRIELA,
CRECHE_CONVENIADA,PASTOR AMÉRICO,CORRESPONDENCIA_VALIDADA,CONV-09,PASTOR AMÉRICO,
CRECHE_CONVENIADA,CRECHE FLORESTAN,CORRESPONDENCIA_VALIDADA,CONV-08,FLORESTAN,
CRECHE_CONVENIADA,CRECHE MILTON SANTOS,CORRESPONDENCIA_VALIDADA,CONV-10,CRECHE MILTON,
CRECHE_CONVENIADA,CRECHE SANTA TEREZINHA,CORRESPONDENCIA_VALIDADA,CONV-23,SANTA TEREZINHA,
CRECHE_EDUCINFANTIL,E.M. DOM JOSÉ,CORRESPONDENCIA_VALIDADA,DIR-31,EM DOM JOSÉ,
CRECHE_EDUCINFANTIL,E.M. ESTELA,CORRESPONDENCIA_VALIDADA,DIR-07,EM ESTELA,
CRECHE_EDUCINFANTIL,E.M. JEANETE BEAUCHAMP,CORRESPONDENCIA_VALIDADA,DIR-32,EM JEANETE BEAUCHAMP,
CRECHE_EDUCINFANTIL,E.M. JOSSEI TODA,CORRESPONDENCIA_VALIDADA,DIR-35,EM JOSSEI TODA,
CRECHE_EDUCINFANTIL,E.M. MARIA ILUMINATA,CORRESPONDENCIA_VALIDADA,DIR-37,EM MARIA ILUMINATA,
CRECHE_EDUCINFANTIL,E.M. MELLONE,CORRESPONDENCIA_VALIDADA,DIR-15,EM MELLONE,
CRECHE_EDUCINFANTIL,E.M. NILZA PRESTES,CORRESPONDENCIA_VALIDADA,DIR-02,EM NILZA PRESTES,
CRECHE_EDUCINFANTIL,E.M. PAU BRASIL,CORRESPONDENCIA_VALIDADA,DIR-34,EM PAU BRASIL,
CRECHE_EDUCINFANTIL,E.M. SANTO ANTONIO,CORRESPONDENCIA_VALIDADA,DIR-25,EM SANTO ANTONIO,
CRECHE_EDUCINFANTIL,E.M. JOÃO ANTONIO,CORRESPONDENCIA_VALIDADA,DIR-10,EM JOÃO ANTONIO DOS SANTOS,
CRECHE_EDUCINFANTIL,E.M. SUELI MARIA HIPÓLITO,CORRESPONDENCIA_VALIDADA,DIR-40,EM SUELI MARIA HIPÓLITO,
CRECHE_EDUCINFANTIL,E.M. JACARANDA,CORRESPONDENCIA_VALIDADA,DIR-38,EM JACARANDA,
CRECHE_EDUCINFANTIL,E.M. MAGALI,CORRESPONDENCIA_VALIDADA,DIR-22,EM MAGALI,
CRECHE_EDUCINFANTIL,E.M. MIKIO UMEDA,CORRESPONDENCIA_VALIDADA,DIR-27,EM MIKIO UMEDA,
CRECHE_EDUCINFANTIL,E.M. VAZAME,CORRESPONDENCIA_VALIDADA,DIR-43,EM VAZAME,
CRECHE_EDUCINFANTIL,E.M. IPÊ,CORRESPONDENCIA_VALIDADA,DIR-42,EM IPÊ,
CRECHE_EDUCINFANTIL,E.M. INÊS CARDOSO,CORRESPONDENCIA_VALIDADA,DIR-06,EM INÊS CARDOSO,
CRECHE_EDUCINFANTIL,E.M. EDNA NUNES,CORRESPONDENCIA_VALIDADA,DIR-39,EM EDNA NUNES,
CRECHE_EDUCINFANTIL,E.M. CLÓVIS TENÓRIO,CORRESPONDENCIA_VALIDADA,DIR-21,EM CLÓVIS TENORIO APARECIDO,
CRECHE_EDUCINFANTIL,E.M. JOSÉ CARLOS,CORRESPONDENCIA_VALIDADA,DIR-13,EM JOSÉ CARLOS,
CRECHE_EDUCINFANTIL,E.M.JATOBÁ,CORRESPONDENCIA_VALIDADA,DIR-01,EM JATOBÁ,
CRECHE_EDUCINFANTIL,NEI JD DA LUZ,CORRESPONDENCIA_VALIDADA,DIR-45,NEI JD DA LUZ,
CRECHE_EDUCINFANTIL,NEI SÃO MARCOS,CORRESPONDENCIA_VALIDADA,DIR-11,NEI SÃO MARCOS,
CRECHE_EDUCINFANTIL,NEI JD. DE LOURDES,CORRESPONDENCIA_VALIDADA,DIR-17,NEI JD. DE LOURDES,
